+------------------------------------+-------+---------+-----------+
| Material List for schematic 'Kayzm MS V3.3' (4 of 4 regions)     |
+------------------------------------+-------+---------+-----------+
| Item                               | Total | Missing | Available |
+------------------------------------+-------+---------+-----------+
| Gray Concrete                      | 12162 |   12162 |         0 |
| White Stained Glass                | 11852 |   11852 |         0 |
| Hopper                             | 11755 |   11755 |         0 |
| Redstone Dust                      |  9581 |    9581 |         0 |
| Redstone Repeater                  |  6708 |    6708 |         0 |
| Chest                              |  6493 |    6493 |         0 |
| Redstone Comparator                |  5449 |    5449 |         0 |
| Red Concrete                       |  5266 |    5266 |         0 |
| Observer                           |  4775 |    4775 |         0 |
| Red Stained Glass                  |  3413 |    3413 |         0 |
| Redstone Torch                     |  3179 |    3179 |         0 |
| Packed Ice                         |  3155 |    3155 |         0 |
| Dropper                            |  2628 |    2628 |         0 |
| Barrel                             |  2290 |    2290 |         0 |
| Scaffolding                        |  1966 |    1966 |         0 |
| Block of Redstone                  |  1874 |    1874 |         0 |
| Smooth Stone Slab                  |  1873 |    1873 |         0 |
| Sticky Piston                      |  1417 |    1417 |         0 |
| Spruce Stairs                      |  1369 |    1369 |         0 |
| Note Block                         |  1302 |    1302 |         0 |
| Composter                          |  1159 |    1159 |         0 |
| Verdant Froglight                  |  1140 |    1140 |         0 |
| Stone Brick Wall                   |  1056 |    1056 |         0 |
| Piston                             |  1043 |    1043 |         0 |
| Sea Lantern                        |   973 |     973 |         0 |
| Soul Soil                          |   973 |     973 |         0 |
| Mangrove Log                       |   951 |     951 |         0 |
| Powered Rail                       |   949 |     949 |         0 |
| Spruce Trapdoor                    |   845 |     845 |         0 |
| Smooth Quartz Stairs               |   842 |     842 |         0 |
| Block of Iron                      |   783 |     783 |         0 |
| Mangrove Planks                    |   711 |     711 |         0 |
| Block of Gold                      |   691 |     691 |         0 |
| Spruce Slab                        |   658 |     658 |         0 |
| Spruce Log                         |   573 |     573 |         0 |
| Yellow Stained Glass               |   507 |     507 |         0 |
| Dispenser                          |   493 |     493 |         0 |
| Magenta Stained Glass              |   483 |     483 |         0 |
| Activator Rail                     |   409 |     409 |         0 |
| Deepslate Brick Wall               |   409 |     409 |         0 |
| Water Bucket                       |   381 |     381 |         0 |
| Mangrove Stairs                    |   335 |     335 |         0 |
| Beehive                            |   307 |     307 |         0 |
| Target                             |   305 |     305 |         0 |
| Green Stained Glass                |   271 |     271 |         0 |
| Redstone Lamp                      |   235 |     235 |         0 |
| Smooth Quartz Block                |   223 |     223 |         0 |
| White Shulker Box                  |   221 |     221 |         0 |
| Yellow Concrete                    |   204 |     204 |         0 |
| Spruce Fence                       |   202 |     202 |         0 |
| Stripped Dark Oak Log              |   196 |     196 |         0 |
| Obsidian                           |   184 |     184 |         0 |
| Black Concrete                     |   173 |     173 |         0 |
| Azalea Leaves                      |   172 |     172 |         0 |
| Iron Trapdoor                      |   161 |     161 |         0 |
| Green Concrete                     |   160 |     160 |         0 |
| Moss Block                         |   154 |     154 |         0 |
| Tinted Glass                       |   149 |     149 |         0 |
| Spruce Planks                      |   148 |     148 |         0 |
| Furnace                            |   147 |     147 |         0 |
| Moss Carpet                        |   147 |     147 |         0 |
| Orange Stained Glass               |   146 |     146 |         0 |
| Gray Concrete Powder               |   137 |     137 |         0 |
| Deepslate Brick Stairs             |   133 |     133 |         0 |
| Lantern                            |   133 |     133 |         0 |
| Orange Concrete                    |   132 |     132 |         0 |
| Lime Terracotta                    |   119 |     119 |         0 |
| Honey Block                        |   113 |     113 |         0 |
| Light Gray Stained Glass           |   111 |     111 |         0 |
| Slime Block                        |   106 |     106 |         0 |
| Stripped Oak Log                   |   102 |     102 |         0 |
| Glow Lichen                        |    99 |      99 |         0 |
| Grass Block                        |    85 |      85 |         0 |
| White Concrete                     |    85 |      85 |         0 |
| Stripped Spruce Log                |    82 |      82 |         0 |
| Chain                              |    81 |      81 |         0 |
| Mangrove Button                    |    75 |      75 |         0 |
| Powder Snow Bucket                 |    71 |      71 |         0 |
| Magenta Concrete                   |    70 |      70 |         0 |
| Dark Oak Fence Gate                |    69 |      69 |         0 |
| Gray Shulker Box                   |    69 |      69 |         0 |
| Glow Berries                       |    61 |      61 |         0 |
| Black Carpet                       |    59 |      59 |         0 |
| White Carpet                       |    59 |      59 |         0 |
| Flowering Azalea Leaves            |    58 |      58 |         0 |
| Polished Deepslate Wall            |    52 |      52 |         0 |
| Spruce Sign                        |    48 |      48 |         0 |
| Gray Carpet                        |    47 |      47 |         0 |
| Gray Glazed Terracotta             |    44 |      44 |         0 |
| Oak Leaves                         |    43 |      43 |         0 |
| Mangrove Slab                      |    41 |      41 |         0 |
| Sea Pickle                         |    40 |      40 |         0 |
| Deepslate Bricks                   |    39 |      39 |         0 |
| Stone Brick Stairs                 |    38 |      38 |         0 |
| Lever                              |    34 |      34 |         0 |
| Soul Sand                          |    33 |      33 |         0 |
| Blue Concrete                      |    32 |      32 |         0 |
| Ender Chest                        |    31 |      31 |         1 |
| Stone Button                       |    31 |      31 |         0 |
| Crafting Table                     |    28 |      28 |         0 |
| Dark Oak Sign                      |    25 |      25 |         0 |
| Flower Pot                         |    25 |      25 |         0 |
| Snow Block                         |    25 |      25 |         0 |
| Spruce Fence Gate                  |    24 |      24 |         0 |
| Rail                               |    23 |      23 |         0 |
| Blue Stained Glass                 |    22 |      22 |         0 |
| Deepslate Brick Slab               |    22 |      22 |         0 |
| Mud                                |    20 |      20 |         0 |
| Bookshelf                          |    19 |      19 |         0 |
| Ladder                             |    17 |      17 |         0 |
| Beacon                             |    16 |      16 |         0 |
| Black Stained Glass                |    16 |      16 |         0 |
| Cauldron                           |    16 |      16 |         0 |
| Smooth Quartz Slab                 |    16 |      16 |         0 |
| White Stained Glass Pane           |    15 |      15 |         0 |
| Green Terracotta                   |    14 |      14 |         0 |
| Carved Pumpkin                     |    13 |      13 |         0 |
| Polished Deepslate Stairs          |    13 |      13 |         0 |
| Trapped Chest                      |    13 |      13 |         0 |
| Brewing Stand                      |    12 |      12 |         0 |
| Detector Rail                      |    12 |      12 |         0 |
| Mangrove Wood                      |    12 |      12 |         0 |
| Shulker Box                        |    10 |      10 |         0 |
| Stripped Spruce Wood               |    10 |      10 |         0 |
| Acacia Log                         |     9 |       9 |         0 |
| Warped Nylium                      |     7 |       7 |         0 |
| Daylight Detector                  |     6 |       6 |         0 |
| Red Bed                            |     6 |       6 |         0 |
| Tripwire Hook                      |     6 |       6 |         0 |
| Block of Amethyst                  |     5 |       5 |         0 |
| Brown Mushroom                     |     5 |       5 |         0 |
| Crying Obsidian                    |     5 |       5 |         0 |
| Lightning Rod                      |     5 |       5 |         0 |
| Black Stained Glass Pane           |     4 |       4 |         0 |
| Cactus                             |     4 |       4 |         0 |
| Dark Oak Slab                      |     4 |       4 |         0 |
| Dark Oak Stairs                    |     4 |       4 |         0 |
| Iron Door                          |     4 |       4 |         0 |
| Stone Stairs                       |     4 |       4 |         0 |
| Allium                             |     3 |       3 |         0 |
| Cornflower                         |     3 |       3 |         0 |
| Dirt                               |     3 |       3 |         0 |
| Lily of the Valley                 |     3 |       3 |         0 |
| Mangrove Roots                     |     3 |       3 |         0 |
| Netherrack                         |     3 |       3 |         0 |
| Red Tulip                          |     3 |       3 |         0 |
| Spruce Sapling                     |     3 |       3 |         0 |
| Azure Bluet                        |     2 |       2 |         0 |
| Bamboo                             |     2 |       2 |         0 |
